,Shipments: Attributes Ocean type category,Shipments: Attributes Shipment ID,Shipments: Attributes Tradelane,Shipments: Attributes Gross Weight (kg),Shipments: Attributes Volume (cbm),Shipment Containers: Distance Final Port to Destination Distance in mile,Shipment Containers: Distance Origin to First Port Distance in km,Shipments: Attributes Freight Type,Shipments: Locations Arrival port Coordinates,Shipments: Locations Departure port Coordinates,Port pair,Total Actual Days
0,coloaded_lcl,3051512,TAWB,323,2.622,160.13,358.66,Port to Door,"32.7764749,-79.93105120000001","53.5510846,9.9936819",DEHAM - USATL,70.0
1,coloaded_lcl,3065451,TAWB,490,0.538,30.83,346.84,Door to Door,"45.5016889,-73.567256","53.5510846,9.9936819",DEHAM - USCHI,45.0
2,coloaded_lcl,3022941,TPEB,"1,913",11.36,54.37,233.94,Port to Door,"34.0522342,-118.2436849","22.356851,91.7831819",BDCGP - USLAX,57.0
3,coloaded_lcl,3024506,FEWB,752,0.508,147.02,421.03,Door to Door,"51.961726,1.351255","18.9499361,72.9511875",INNSA - GBFXT,57.0
4,flxt_lcl,3055002,TPEB,"6,471",8.11,"1,793.56",296.68,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,43.0
5,coloaded_lcl,3026003,FEWB,285.66,2.73,166.63,149.07,Port to Door,"51.961726,1.351255","20.8449115,106.6880841",VNHPH - GBFXT,53.0
6,coloaded_lcl,3032043,FEEB,43.4,1.43,13.86,175.36,Port to Door,"23.12911,113.264385","41.0082376,28.9783589",TRIST - CNHUA,88.0
7,coloaded_lcl,3155505,TPEB,853,3.789,59.15,0.55,Port to Door,"34.0522342,-118.2436849","34.6937249,135.5022535",JPOSA - USLAX,
8,coloaded_lcl,3019716,TAWB,431,1.99,"2,431.81",239.25,Door to Door,"40.735657,-74.1723667","44.4056499,8.946256",ITGOA - USNYC,76.0
9,coloaded_lcl,3021482,TPEB,"3,667.91",19.77,54.37,230.96,Port to Door,"34.0522342,-118.2436849","22.356851,91.7831819",BDCGP - USLAX,79.0
10,coloaded_lcl,3025978,FEWB,600.34,4.99,185.35,11.93,Port to Door,"51.961726,1.351255","10.8230989,106.6296638",VNSGN - GBFXT,68.0
11,coloaded_lcl,2987666,FEWB,"1,350.02",11.42,77.89,137.06,Port to Door,"51.9244201,4.4777326","22.356851,91.7831819",BDCGP - NLRTM,73.0
12,coloaded_lcl,3053937,TPEB,"1,363.5",9.02,"1,833.99",7.25,Port to Door,"34.0522342,-118.2436849","10.8230989,106.6296638",VNSGN - USLAX,77.0
13,coloaded_lcl,3047522,FEWB,213.71,1.36,112.12,92.12,Port to Door,"50.90970040000001,-1.4043509","13.1040552,100.9158073",THLCH - GBSOU,
14,flxt_lcl,2976454,TPEB,"4,484.02",6.87,9.93,45.30,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,37.0
15,coloaded_lcl,3074151,TAEB,"3,958.54",14.158,71.00,385.81,Door to Door,"51.9244201,4.4777326","36.8507689,-76.28587259999999",USORF - NLRTM,53.0
16,flxt_lcl,3022361,FEWB,179,1.565,94.57,302.53,Port to Door,"51.9244201,4.4777326","22.6272784,120.3014353",TWKHH - NLRTM,82.0
17,flxt_lcl,3074464,TPEB,201,0.961,180.36,10.16,Port to Door,"33.7700504,-118.1937395","22.3193039,114.1693611",HKHKG - USLGB,37.0
18,flxt_lcl,3064351,TPEB,"4,206",6.14,842.54,219.73,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,43.0
19,coloaded_lcl,3044461,TAWB,960,1.165,30.83,346.84,Door to Door,"45.5016889,-73.567256","53.5510846,9.9936819",DEHAM - USCHI,52.0
20,coloaded_lcl,3015940,FEWB,499.6,2.48,174.92,235.81,Port to Door,"53.5510846,9.9936819","22.356851,91.7831819",BDCGP - DEHAM,74.0
21,coloaded_lcl,3063002,ROW,454.45,9.396,96.76,175.36,Port to Door,"51.5073509,-0.1277583","41.0082376,28.9783589",TRIST - GBLON,
22,coloaded_lcl,3012162,TPEB,851.39,9.672,"1,837.80",3.06,Port to Door,"34.0522342,-118.2436849","11.5563738,104.9282099",KHPNH - USLAX,55.0
23,coloaded_lcl,3014187,TPEB,"1,970.63",7.702,35.35,"1,175.69",Port to Door,"36.8507689,-76.28587259999999","18.9499361,72.9511875",INNSA - USCHI,63.0
24,coloaded_lcl,3026167,FEWB,225.35,1.3,44.89,62.65,Door to Door,"51.961726,1.351255","10.8230989,106.6296638",VNSGN - GBFXT,53.0
25,coloaded_lcl,3021805,ROW,125,1.73,148.77,201.42,Port to Port,"-33.8688197,151.2092955","22.6272784,120.3014353",TWKHH - AUSYD,
26,coloaded_lcl,3054158,TPEB,"1,497",6.341,199.50,5.83,Port to Door,"40.735657,-74.1723667","18.9499361,72.9511875",INNSA - USNYC,58.0
27,coloaded_lcl,3067473,TAWB,"2,656",15.142,30.83,483.20,Door to Door,"45.5016889,-73.567256","53.5510846,9.9936819",DEHAM - USCHI,55.0
28,coloaded_lcl,3057992,TPEB,686.1,3.39,855.34,72.62,Port to Door,"34.0522342,-118.2436849","20.8449115,106.6880841",VNHPH - USLAX,43.0
29,coloaded_lcl,2974577,FEWB,588,1.874,26.38,22.26,Port to Door,"55.5689298,9.749516999999999","18.9499361,72.9511875",INNSA - DKAAR,66.0
30,coloaded_lcl,3069021,TPEB,"1,456.25",6.722,57.08,338.49,Door to Door,"33.7700504,-118.1937395","35.1795543,129.0756416",KRPUS - USLGB,30.0
31,coloaded_lcl,3017970,TPEB,543,4.0,140.04,"1,120.15",Port to Door,"47.6062095,-122.3320708","24.8607343,67.0011364",PKKHI - USSEA,63.0
32,coloaded_lcl,3017747,TPEB,"2,182",12.012,49.43,37.76,Door to Door,"40.735657,-74.1723667","1.492659,103.7413591",MYTPP - USNYC,65.0
33,flxt_lcl,3021182,FEWB,"8,140",5.28,95.13,300.40,Port to Door,"51.9244201,4.4777326","22.6272784,120.3014353",TWKHH - NLRTM,85.0
34,coloaded_lcl,3019270,TPEB,"1,416.95",5.73,54.37,195.39,Port to Door,"34.0522342,-118.2436849","22.356851,91.7831819",BDCGP - USLAX,59.0
35,flxt_lcl,3069681,TPEB,174,0.77,59.78,"1,226.96",Port to Door,"33.7700504,-118.1937395","31.24589,121.49222",CNSHG - USLGB,23.0
36,coloaded_lcl,3081189,TAWB,119,1.248,26.04,308.38,Door to Door,"45.5016889,-73.567256","53.5510846,9.9936819",DEHAM - CATOR,40.0
37,coloaded_lcl,3044539,TPEB,"2,327.8",11.13,235.06,244.53,Port to Door,"40.735657,-74.1723667","8.764166099999999,78.1348361",INTUT - USNYC,51.0
38,coloaded_lcl,3033907,TPEB,534,2.92,594.57,4.72,Door to Door,"34.0522342,-118.2436849","20.8449115,106.6880841",VNHPH - USLAX,52.0
39,coloaded_lcl,3074326,TAWB,"1,099",12.182,188.17,79.96,Door to Door,"40.735657,-74.1723667","51.2194475,4.4024643",BEANR - USNYC,
40,coloaded_lcl,3014052,FEWB,"2,318.33",8.59,30.89,85.64,Port to Door,"51.9244201,4.4777326","20.8449115,106.6880841",VNHPH - NLRTM,71.0
41,coloaded_lcl,3035562,FEWB,606.29,3.399,94.85,"1,142.50",Port to Door,"51.961726,1.351255","18.9499361,72.9511875",INNSA - GBFXT,57.0
42,coloaded_lcl,3017683,TPEB,223.26,2.563,11.44,30.69,Port to Door,"34.0522342,-118.2436849","13.7505781,100.7943199",THLKR - USLAX,43.0
43,coloaded_lcl,3062333,TPEB,899.28,4.088,840.12,252.65,Port to Door,"33.7700504,-118.1937395","35.1795543,129.0756416",KRPUS - USLGB,61.0
44,coloaded_lcl,3002085,FEWB,981.25,4.73,66.67,86.01,Port to Door,"53.5510846,9.9936819","20.8449115,106.6880841",VNHPH - DEHAM,
45,flxt_lcl,3013840,FEWB,75,0.388,98.22,308.62,Port to Door,"51.9244201,4.4777326","22.6272784,120.3014353",TWKHH - NLRTM,80.0
46,coloaded_lcl,3004093,FEWB,393.84,2.19,66.67,181.50,Port to Door,"53.5510846,9.9936819","20.8449115,106.6880841",VNHPH - DEHAM,
47,coloaded_lcl,3052473,TAWB,"3,710.03",17.38,28.59,40.72,Port to Door,"40.735657,-74.1723667","41.1827778,-8.703055599999999",PTLEI - USNYC,31.0
48,coloaded_lcl,3043857,FEWB,310.8,1.87,103.13,100.38,Port to Door,"51.5100908,0.4595977","7.873053999999999,80.77179699999999",LKCMB - GBLGP,53.0
49,coloaded_lcl,3039248,FEWB,134.2,1.44,37.51,9.19,Door to Door,"51.9244201,4.4777326","22.3193039,114.1693611",HKHKG - NLRTM,48.0
50,coloaded_lcl,3010561,TPEB,118.6,1.52,188.17,37.48,Port to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,95.0
51,coloaded_lcl,3065424,TAEB,"1,224.7",4.908,97.52,18.71,Door to Door,"51.5073509,-0.1277583","29.746047,-95.287854",USHOU - GBLON,
52,coloaded_lcl,3008493,TPEB,"3,374.37",38.844,231.90,39.86,Port to Door,"29.746047,-95.287854","18.9499361,72.9511875",INNSA - USHOU,87.0
53,coloaded_lcl,3013194,FEWB,975.41,4.65,48.87,14.00,Port to Door,"51.9244201,4.4777326","16.0544563,108.0717219",VNDAD - NLRTM,73.0
54,flxt_lcl,3059749,TPEB,965.5,3.441,707.20,4.62,Port to Door,"33.7700504,-118.1937395","22.3193039,114.1693611",HKHKG - USLGB,47.0
55,coloaded_lcl,3078544,TPEB,"1,761",10.407,109.87,1.71,Port to Port,"33.7700504,-118.1937395","35.1795543,129.0756416",KRPUS - USLGB,28.0
56,coloaded_lcl,3043761,TPEB,"6,586.08",5.22,324.27,5.34,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USCHI,58.0
57,coloaded_lcl,3013835,ROW,156,0.722,7.31,315.09,Door to Door,"18.9499361,72.9511875","35.1795543,129.0756416",KRPUS - INNSA,42.0
58,coloaded_lcl,3021523,TAEB,192.32,1.042,245.66,91.39,Port to Door,"51.5073509,-0.1277583","34.0522342,-118.2436849",USLAX - GBLON,58.0
59,coloaded_lcl,3013965,FEWB,663.72,4.42,166.63,93.52,Port to Door,"51.961726,1.351255","20.8449115,106.6880841",VNHPH - GBFXT,59.0
60,flxt_lcl,3064576,TPEB,968.88,4.43,109.88,173.39,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,37.0
61,coloaded_lcl,2923332,FEWB,"1,851.69",6.633,180.81,91.56,Door to Door,"50.90970040000001,-1.4043509","13.7563309,100.5017651",THBKK - GBSOU,77.0
62,coloaded_lcl,3070749,TAWB,229,1.089,539.50,325.69,Door to Door,"40.735657,-74.1723667","53.4083714,-2.9915726",GBLIV - USNYC,39.0
63,coloaded_lcl,3010321,FEWB,147,2.6,27.25,16.10,Door to Door,"51.9244201,4.4777326","10.8230989,106.6296638",VNSGN - NLRTM,67.0
64,coloaded_lcl,3021870,TPEB,"5,020",24.88,31.94,29.69,Port to Door,"34.0522342,-118.2436849","22.556499,114.236875",CNYTN - USDAL,46.0
65,flxt_lcl,3009340,FEWB,432.55,1.98,37.83,303.26,Port to Door,"51.9244201,4.4777326","22.6272784,120.3014353",TWKHH - NLRTM,82.0
66,coloaded_lcl,3043831,TPEB,450.71,1.599,31.38,5.07,Port to Door,"34.0522342,-118.2436849","34.6900806,135.1956311",JPUKB - USLAX,38.0
67,coloaded_lcl,3027138,FEWB,223.8,3.08,86.63,153.58,Port to Door,"51.961726,1.351255","10.6267867,103.5115545",KHKOS - GBFXT,52.0
68,coloaded_lcl,3047132,FEWB,"1,114.5",11.231,21.74,17.38,Port to Door,"51.9244201,4.4777326","22.572646,88.36389500000001",INCCU - NLRTM,
69,coloaded_lcl,3076798,TAWB,549,2.976,30.84,"1,155.38",Door to Door,"45.5016889,-73.567256","53.5510846,9.9936819",DEHAM - USCHI,39.0
70,coloaded_lcl,3031736,FEWB,370.25,2.052,116.24,4.88,Port to Door,"51.961726,1.351255","7.873053999999999,80.77179699999999",LKCMB - GBFXT,47.0
71,flxt_lcl,3085001,TPEB,236,0.853,180.36,0.55,Port to Door,"33.7700504,-118.1937395","22.3193039,114.1693611",HKHKG - USLGB,35.0
72,coloaded_lcl,3036075,TAEB,"6,373.58",10.352,22.40,29.56,Door to Door,"51.5073509,-0.1277583","34.0522342,-118.2436849",USLAX - GBLON,59.0
73,coloaded_lcl,3055223,TAWB,445,2.675,312.72,105.70,Door to Port,"32.7764749,-79.93105120000001","53.5510846,9.9936819",DEHAM - USATL,48.0
74,coloaded_lcl,3003525,TPEB,"1,010.87",12.9,"2,435.82",1.86,Port to Door,"40.735657,-74.1723667","20.8449115,106.6880841",VNHPH - USNYC,80.0
75,coloaded_lcl,2997041,FEWB,66.63,1.0,77.89,10.22,Port to Door,"51.9244201,4.4777326","10.8230989,106.6296638",VNSGN - NLRTM,69.0
76,coloaded_lcl,3043129,TPEB,147,3.42,8.85,23.40,Door to Door,"34.0522342,-118.2436849","10.8230989,106.6296638",VNSGN - USLAX,41.0
77,coloaded_lcl,3048240,ROW,190.4,1.263,79.55,"1,048.29",Port to Port,"35.18145060000001,136.9065571","18.9499361,72.9511875",INNSA - JPNGO,
78,coloaded_lcl,3040315,FEEB,105.35,1.0,4.48,175.36,Port to Door,"22.3193039,114.1693611","41.0082376,28.9783589",TRIST - HKHKG,
79,coloaded_lcl,3026875,TPEB,267.98,1.7,19.77,28.92,Port to Door,"49.2827291,-123.1207375","10.8230989,106.6296638",VNSGN - CATOR,
80,coloaded_lcl,3027471,TPEB,"5,914",4.082,746.80,302.87,Port to Door,"40.735657,-74.1723667","35.1795543,129.0756416",KRPUS - USNYC,90.0
81,coloaded_lcl,3037719,FEWB,253.6,1.51,116.24,100.38,Port to Door,"51.5100908,0.4595977","7.873053999999999,80.77179699999999",LKCMB - GBFXT,53.0
82,flxt_lcl,3028326,TPEB,"3,693",10.06,286.38,28.14,Port to Port,"34.0522342,-118.2436849","22.556499,114.236875",CNYTN - USCHI,43.0
83,coloaded_lcl,3057993,TPEB,"3,160.5",11.344,595.93,259.96,Door to Door,"34.0522342,-118.2436849","35.1795543,129.0756416",KRPUS - USLAX,33.0
84,coloaded_lcl,3048251,FEWB,"1,334.4",8.044,77.89,103.89,Port to Door,"51.9244201,4.4777326","7.873053999999999,80.77179699999999",LKCMB - NLRTM,44.0
85,coloaded_lcl,3026279,TPEB,"1,202.18",7.92,24.54,"1,739.04",Port to Door,"49.2827291,-123.1207375","13.0826802,80.2707184",INMAA - CAVAN,66.0
86,coloaded_lcl,3044580,LATAM OB,"1,171",8.232,10.13,15.65,Port to Door,"40.735657,-74.1723667","-12.0508491,-77.1259843",PECLL - USNYC,51.0
87,coloaded_lcl,3032546,LATAM OB,"1,112.7",6.539,52.83,12.54,Port to Door,"34.0522342,-118.2436849","-12.0508491,-77.1259843",PECLL - USLAX,85.0
88,coloaded_lcl,3064596,TAWB,"1,385",8.58,596.15,105.70,Door to Port,"32.7764749,-79.93105120000001","53.5510846,9.9936819",DEHAM - USCHS,32.0
89,coloaded_lcl,3065250,TAWB,213.48,1.26,"2,440.69",448.88,Door to Door,"40.735657,-74.1723667","53.5510846,9.9936819",DEHAM - USNYC,46.0
90,flxt_lcl,3088082,TPEB,"1,471.5",12.65,"1,233.51",131.49,Port to Door,"34.0522342,-118.2436849","25.0329694,121.5654177",TWTPE - USLAX,
91,coloaded_lcl,3031654,TPEB,"1,424",3.548,630.69,4.53,Port to Door,"40.735657,-74.1723667","22.3193039,114.1693611",HKHKG - USNYC,60.0
92,coloaded_lcl,3065759,ROW,868.74,4.104,5.71,15.01,Door to Door,"22.3193039,114.1693611","1.352083,103.819836",SGSIN - HKHKG,16.0
93,coloaded_lcl,3069852,FEWB,684.5,4.315,116.24,100.38,Port to Door,"51.961726,1.351255","7.873053999999999,80.77179699999999",LKCMB - GBFXT,56.0
94,flxt_lcl,3021057,TPEB,"1,690.2",10.88,592.64,295.83,Port to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,82.0
95,flxt_lcl,2977215,TPEB,"1,216.2",6.03,317.49,168.99,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USCHI,53.0
96,coloaded_lcl,3078025,TAWB,540,5.222,227.62,164.90,Port to Door,"40.735657,-74.1723667","44.4056499,8.946256",ITGOA - USNYC,49.0
97,coloaded_lcl,3163249,ROW,"1,653",5.267,14.56,0.55,Port to Door,"22.3193039,114.1693611","34.6937249,135.5022535",JPOSA - HKHKG,
98,coloaded_lcl,3004594,TPEB,909.7,5.4,31.42,51.49,Port to Door,"47.2528768,-122.4442906","22.6272784,120.3014353",TWKHH - USTIW,51.0
99,coloaded_lcl,2964786,TPEB,"2,224",10.27,"1,055.56",8.87,Port to Door,"40.735657,-74.1723667","5.4356367,100.3091",MYPEN - USNYC,71.0
100,coloaded_lcl,3047536,FEWB,12.63,0.071,134.58,410.31,Port to Door,"51.961726,1.351255","-6.2087634,106.845599",IDJKT - GBFXT,
101,coloaded_lcl,3010043,TPEB,122.1,0.82,24.54,227.98,Port to Door,"49.2827291,-123.1207375","22.356851,91.7831819",BDCGP - CAVAN,78.0
102,coloaded_lcl,3038676,TPEB,364,3.38,111.62,222.35,Port to Door,"34.0522342,-118.2436849","22.356851,91.7831819",BDCGP - USLAX,60.0
103,flxt_lcl,3054124,TPEB,"1,406.69",7.32,707.72,182.59,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,37.0
104,coloaded_lcl,3161204,ROW,624.8,3.408,14.43,106.99,Port to Door,"22.3193039,114.1693611","35.6761919,139.6503106",JPTYO - HKHKG,
105,coloaded_lcl,3015933,FEWB,"1,324.1",7.14,174.92,235.81,Port to Door,"53.5510846,9.9936819","22.356851,91.7831819",BDCGP - DEHAM,74.0
106,coloaded_lcl,3016698,FEWB,214.63,1.849,193.73,141.70,Port to Door,"50.90970040000001,-1.4043509","13.7563309,100.5017651",THBKK - GBSOU,57.0
107,flxt_lcl,3043126,TPEB,"2,490.4",6.17,21.72,176.47,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USCHI,45.0
108,flxt_lcl,3031002,TPEB,778.5,2.52,890.57,307.89,Door to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,83.0
109,coloaded_lcl,3078061,TPWB,"1,273.7",4.09,16.15,385.81,Door to Door,"22.3193039,114.1693611","41.8781136,-87.6297982",USCHI - HKHKG,
110,coloaded_lcl,3031958,TAEB,425,3.036,94.50,8.58,Door to Door,"50.90970040000001,-1.4043509","45.5016889,-73.567256",CAMTR - GBSOU,59.0
111,coloaded_lcl,2998115,FEEB,215,0.509,22.77,76.69,Door to Door,"-37.8136276,144.9630576","51.9244201,4.4777326",NLRTM - AUMEL,
112,coloaded_lcl,3008165,FEWB,"1,537.3",3.371,147.02,760.65,Port to Door,"51.961726,1.351255","18.9499361,72.9511875",INNSA - GBFXT,55.0
113,coloaded_lcl,2972394,FEWB,225.66,2.68,80.20,82.65,Port to Door,"51.961726,1.351255","14.5995124,120.9842195",PHMNL - GBFXT,68.0
114,coloaded_lcl,3008899,TAWB,407.6,1.93,32.07,29.65,Door to Door,"34.0522342,-118.2436849","44.1024504,9.824082599999999",ITSPE - USLAX,55.0
115,coloaded_lcl,3018883,TPEB,"1,505.6",3.2,223.26,288.52,Port to Door,"34.0522342,-118.2436849","25.1276033,121.7391833",TWKEL - USATL,55.0
116,coloaded_lcl,3034791,TPEB,937.8,5.117,"1,312.17",117.07,Port to Port,"34.0522342,-118.2436849","-6.2087634,106.845599",IDJKT - USLAX,59.0
117,coloaded_lcl,3049917,TAWB,379,1.98,251.55,743.44,Door to Door,"29.746047,-95.287854","53.5395845,8.580942499999999",DEBRV - USHOU,58.0
118,coloaded_lcl,3043933,TPEB,301.5,1.98,946.80,3.86,Port to Door,"40.735657,-74.1723667","7.873053999999999,80.77179699999999",LKCMB - USNYC,65.0
119,coloaded_lcl,3038205,TPEB,87.5,0.59,160.25,169.72,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USCHI,61.0
120,coloaded_lcl,3008497,TPEB,150,2.0,181.64,"1,120.65",Port to Door,"34.0522342,-118.2436849","24.8607343,67.0011364",PKKHI - USLAX,94.0
121,coloaded_lcl,3033163,TPEB,820.06,5.92,855.34,181.50,Port to Door,"34.0522342,-118.2436849","20.8449115,106.6880841",VNHPH - USLAX,39.0
122,coloaded_lcl,3026630,FEWB,"1,018.03",7.84,115.80,208.85,Port to Door,"51.961726,1.351255","22.356851,91.7831819",BDCGP - GBFXT,54.0
123,coloaded_lcl,3013134,FEWB,"3,063.7",11.49,4.98,155.15,Port to Door,"50.90970040000001,-1.4043509","22.6272784,120.3014353",TWKHH - GBSOU,69.0
124,coloaded_lcl,2993157,TPEB,"1,213",2.383,403.04,199.98,Door to Door,"40.735657,-74.1723667","18.9499361,72.9511875",INNSA - USNYC,72.0
125,coloaded_lcl,3045947,TPEB,696.48,5.238,52.07,"1,717.91",Port to Door,"33.7700504,-118.1937395","13.2957034,80.3380213",INKAT - USLGB,
126,coloaded_lcl,3044486,TAWB,490,0.538,30.83,346.84,Door to Door,"45.5016889,-73.567256","53.5510846,9.9936819",DEHAM - USCHI,51.0
127,coloaded_lcl,3050750,TAWB,231,2.304,"1,710.32",23.11,Port to Port,"40.735657,-74.1723667","41.0082376,28.9783589",TRIST - USNYC,92.0
128,coloaded_lcl,3011775,FEWB,"1,945",19.0,178.38,960.03,Port to Door,"50.90970040000001,-1.4043509","24.8607343,67.0011364",PKKHI - GBSOU,57.0
129,coloaded_lcl,3016775,TPEB,"2,400",15.68,"2,414.36",131.12,Port to Door,"40.735657,-74.1723667","8.764166099999999,78.1348361",INTUT - USNYC,72.0
130,coloaded_lcl,2997012,FEWB,177.75,1.75,63.36,10.22,Port to Door,"51.961726,1.351255","10.8230989,106.6296638",VNSGN - GBFXT,70.0
131,coloaded_lcl,3028703,TAWB,223.5,1.46,18.36,29.36,Door to Door,"34.0522342,-118.2436849","44.1024504,9.824082599999999",ITSPE - USLAX,57.0
132,flxt_lcl,3026891,TPEB,237,2.12,592.64,142.22,Port to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,83.0
133,coloaded_lcl,3020826,FEWB,508.5,4.35,71.00,203.00,Door to Door,"51.9244201,4.4777326","22.6272784,120.3014353",TWKHH - NLRTM,87.0
134,coloaded_lcl,3046706,TAWB,327,1.344,650.09,443.02,Door to Door,"34.0522342,-118.2436849","53.5510846,9.9936819",DEHAM - USLAX,58.0
135,coloaded_lcl,3023040,TPEB,372.4,3.92,20.89,100.68,Port to Door,"40.735657,-74.1723667","20.8449115,106.6880841",VNHPH - USNYC,71.0
136,coloaded_lcl,3033936,TAWB,261.78,1.44,17.99,448.88,Door to Door,"34.0522342,-118.2436849","53.5510846,9.9936819",DEHAM - USLAX,83.0
137,coloaded_lcl,3065397,TAEB,"2,436.27",6.281,40.00,375.29,Door to Door,"51.2194475,4.4024643","36.8507689,-76.28587259999999",USORF - NLRTM,
138,flxt_lcl,3011989,FEWB,317.6,0.73,306.23,49.71,Port to Door,"51.9244201,4.4777326","22.6272784,120.3014353",TWKHH - NLRTM,85.0
139,coloaded_lcl,2976439,TPEB,"1,778.8",1.94,19.37,45.30,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USDAL,52.0
140,coloaded_lcl,3010532,FEWB,"1,335.74",15.721,77.89,"1,124.49",Port to Door,"51.9244201,4.4777326","18.9499361,72.9511875",INNSA - NLRTM,72.0
141,coloaded_lcl,3038916,TPEB,"1,135.9",2.8,223.26,27.10,Port to Door,"34.0522342,-118.2436849","25.1276033,121.7391833",TWKEL - USATL,55.0
142,coloaded_lcl,3022505,FEWB,"1,191.76",5.21,134.58,150.87,Port to Door,"51.961726,1.351255","25.0329694,121.5654177",TWTPE - GBFXT,91.0
143,coloaded_lcl,3005126,FEWB,"2,188.97",10.39,36.43,244.30,Port to Door,"51.9244201,4.4777326","22.356851,91.7831819",BDCGP - NLRTM,77.0
144,coloaded_lcl,3028642,TPEB,"1,601.3",13.1,16.79,13.54,Port to Door,"49.2827291,-123.1207375","10.8230989,106.6296638",VNSGN - CATOR,
145,flxt_lcl,3064053,TPEB,46.5,0.15,42.90,11.69,Port to Door,"33.7700504,-118.1937395","22.3193039,114.1693611",HKHKG - USLGB,36.0
146,coloaded_lcl,2992256,TPEB,383.35,3.811,594.25,427.84,Port to Door,"40.735657,-74.1723667","34.6900806,135.1956311",JPUKB - USNYC,90.0
147,coloaded_lcl,3026554,FEWB,397.55,2.3,15.29,226.54,Port to Port,"53.5510846,9.9936819","22.356851,91.7831819",BDCGP - DEHAM,68.0
148,flxt_lcl,3057727,TPEB,"1,156.02",8.63,707.72,180.00,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,37.0
149,flxt_lcl,3016497,TPEB,"4,357.97",15.29,181.41,179.53,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,38.0
150,coloaded_lcl,3057004,TAWB,"1,181.46",4.09,96.87,482.88,Door to Door,"40.735657,-74.1723667","53.5510846,9.9936819",DEHAM - USNYC,36.0
151,flxt_lcl,3055885,TPEB,246,0.98,109.92,31.19,Port to Port,"34.0522342,-118.2436849","22.556499,114.236875",CNYTN - USLAX,24.0
152,coloaded_lcl,3017912,TPEB,186.3,1.71,"2,197.57",42.65,Port to Door,"34.0522342,-118.2436849","20.8449115,106.6880841",VNHPH - USLAX,47.0
153,coloaded_lcl,3013787,TPEB,"1,792.11",7.69,64.34,85.64,Port to Door,"40.735657,-74.1723667","20.8449115,106.6880841",VNHPH - USNYC,73.0
154,coloaded_lcl,3021489,TPEB,755.76,4.65,24.54,230.96,Port to Door,"49.2827291,-123.1207375","22.356851,91.7831819",BDCGP - CAVAN,71.0
155,flxt_lcl,3022791,FEWB,247,0.37,207.16,173.31,Port to Door,"51.9244201,4.4777326","22.6272784,120.3014353",TWKHH - NLRTM,
156,coloaded_lcl,3028824,TPEB,81.75,0.525,"1,890.12",6.51,Port to Door,"34.0522342,-118.2436849","-6.2087634,106.845599",IDJKT - USLAX,70.0
157,coloaded_lcl,3026638,FEWB,314.99,2.43,77.89,208.85,Port to Door,"51.9244201,4.4777326","22.356851,91.7831819",BDCGP - NLRTM,71.0
158,flxt_lcl,3026281,FEWB,619.94,4.25,277.25,74.09,Door to Door,"51.9244201,4.4777326","20.8449115,106.6880841",VNHPH - NLRTM,74.0
159,coloaded_lcl,3009249,FEEB,997.12,5.76,7.75,175.36,Port to Door,"-37.8136276,144.9630576","41.0082376,28.9783589",TRIST - AUMEL,92.0
160,coloaded_lcl,3022784,FEWB,685.86,3.79,166.63,160.02,Port to Door,"51.961726,1.351255","20.8449115,106.6880841",VNHPH - GBFXT,58.0
161,coloaded_lcl,3045107,TPEB,871.1,4.67,"1,226.54",41.14,Port to Door,"34.0522342,-118.2436849","22.6272784,120.3014353",TWKHH - USLAX,59.0
162,coloaded_lcl,3027873,FEWB,50.38,0.2,44.89,173.25,Port to Door,"51.961726,1.351255","10.6267867,103.5115545",KHKOS - GBFXT,57.0
163,coloaded_lcl,3103971,TPEB,357.21,4.104,"1,837.80",276.34,Port to Door,"34.0522342,-118.2436849","7.873053999999999,80.77179699999999",LKCMB - USLAX,
164,coloaded_lcl,3035165,TPEB,211.49,1.53,855.34,139.30,Port to Door,"34.0522342,-118.2436849","10.8230989,106.6296638",VNSGN - USLAX,39.0
165,coloaded_lcl,2985750,TPEB,"11,621.94",10.992,404.13,43.10,Port to Door,"40.735657,-74.1723667","22.8395202,69.7213266",INMUN - USNYC,61.0
