,Shipments: Attributes Ocean type category,Shipments: Attributes Shipment ID,Shipments: Attributes Tradelane,Shipments: Attributes Gross Weight (kg),Shipments: Attributes Volume (cbm),Shipment Containers: Distance Final Port to Destination Distance in mile,Shipment Containers: Distance Origin to First Port Distance in km,Shipments: Attributes Freight Type,Shipments: Locations Arrival port Coordinates,Shipments: Locations Departure port Coordinates,Port pair,Total Actual Days
879,coloaded_lcl,3013181,TPEB,754.23,4.76,7.14,68.82,Port to Door,"34.0522342,-118.2436849","10.8230989,106.6296638",VNSGN - USLAX,69.0
880,coloaded_lcl,3013309,TPEB,777,7.56,25.30,7.65,Port to Door,"47.2528768,-122.4442906","10.8230989,106.6296638",VNSGN - USSEA,64.0
881,coloaded_lcl,3046142,TAEB,"3,007.35",10.571,71.00,385.81,Door to Door,"51.9244201,4.4777326","40.735657,-74.1723667",USNYC - NLRTM,51.0
882,coloaded_lcl,2983459,TPEB,405.47,3.062,24.54,"1,717.91",Port to Door,"49.2827291,-123.1207375","13.2957034,80.3380213",INKAT - CAVAN,55.0
883,coloaded_lcl,2997784,TPEB,777.3,4.46,44.73,58.21,Port to Door,"34.0522342,-118.2436849","10.8230989,106.6296638",VNSGN - USLAX,52.0
884,coloaded_lcl,2974517,TPEB,"1,371.09",5.65,54.66,"1,123.34",Door to Port,"40.735657,-74.1723667","18.9499361,72.9511875",INNSA - USNYC,73.0
885,coloaded_lcl,3112715,TPEB,475,1.994,59.15,58.00,Port to Door,"34.0522342,-118.2436849","35.6761919,139.6503106",JPTYO - USLAX,
886,coloaded_lcl,3001365,TPEB,"1,210",3.72,849.77,"12,521.35",Port to Door,"34.0522342,-118.2436849","25.0329694,121.5654177",TWTPE - USLAX,66.0
887,flxt_lcl,2997272,TPEB,471.52,1.28,19.33,288.20,Port to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,73.0
888,coloaded_lcl,2891248,FEWB,"1,527.6",5.276,180.81,120.17,Door to Door,"50.90970040000001,-1.4043509","13.7505781,100.7943199",THLKR - GBSOU,73.0
889,coloaded_lcl,3038914,TPEB,646.55,6.3,45.27,44.65,Door to Door,"34.0522342,-118.2436849","14.5995124,120.9842195",PHMNL - USLAX,45.0
890,coloaded_lcl,3025171,TPEB,232,1.0,704.28,19.75,Port to Port,"34.0522342,-118.2436849","10.8230989,106.6296638",VNSGN - USLAX,84.0
891,coloaded_lcl,3014463,TPEB,221.8,1.73,286.38,"1,633.18",Port to Door,"34.0522342,-118.2436849","36.067108,120.382609",CNTAO - USCHI,64.0
892,coloaded_lcl,2979845,FEWB,"1,224.7",10.47,77.89,218.39,Port to Door,"51.9244201,4.4777326","20.8449115,106.6880841",VNHPH - NLRTM,68.0
893,coloaded_lcl,3000326,TPEB,677.08,1.245,953.73,22.88,Port to Door,"40.735657,-74.1723667","13.1040552,100.9158073",THLCH - USNYC,66.0
894,flxt_lcl,2996926,TPEB,"1,350.5",3.16,19.33,43.52,Port to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,73.0
895,coloaded_lcl,3030272,TAWB,945,6.06,"1,594.80",125.25,Door to Door,"40.735657,-74.1723667","50.90970040000001,-1.4043509",GBSOU - USNYC,47.0
896,coloaded_lcl,3064244,FEWB,759.45,4.4,93.86,220.04,Port to Door,"51.961726,1.351255","22.356851,91.7831819",BDCGP - GBFXT,56.0
897,coloaded_lcl,3026780,TAWB,502.47,5.23,53.18,"6,776.10",Door to Door,"40.735657,-74.1723667","41.3850639,2.1734035",ESBCN - USNYC,41.0
898,coloaded_lcl,3040731,TAWB,"1,585.48",3.65,607.19,107.30,Door to Door,"40.735657,-74.1723667","41.1827778,-8.703055599999999",PTLEI - USNYC,39.0
899,flxt_lcl,2989386,TPEB,420.2,1.44,63.12,50.98,Port to Door,"40.735657,-74.1723667","22.6272784,120.3014353",TWKHH - USNYC,72.0
900,coloaded_lcl,2991133,TPEB,564.75,6.071,"2,385.38",43.87,Port to Door,"34.0522342,-118.2436849","11.5563738,104.9282099",KHPNH - USLAX,76.0
901,coloaded_lcl,2907145,TPEB,"1,353",7.63,944.74,8.60,Door to Door,"40.735657,-74.1723667","1.1300779,104.0529207",IDBTM - USNYC,96.0
902,coloaded_lcl,3019167,TAWB,610,5.213,"1,363.19",266.51,Door to Door,"40.735657,-74.1723667","54.5188898,18.5305409",PLGDY - USNYC,49.0
903,coloaded_lcl,2988902,FEWB,533,4.03,63.40,7.86,Port to Door,"51.961726,1.351255","10.8230989,106.6296638",VNSGN - GBFXT,57.0
904,coloaded_lcl,3023206,ROW,"1,970.08",7.104,13.95,193.76,Port to Door,"-33.8688197,151.2092955","10.6267867,103.5115545",KHKOS - AUSYD,45.0
905,coloaded_lcl,3022151,TPEB,"1,551",8.851,14.12,5.38,Port to Door,"34.0522342,-118.2436849","22.3193039,114.1693611",HKHKG - USCHI,63.0
906,coloaded_lcl,2987671,TPEB,146.71,3.04,93.85,24.76,Port to Door,"40.735657,-74.1723667","14.5995124,120.9842195",PHMNL - USNYC,71.0
907,coloaded_lcl,3006789,ROW,"1,007.4",10.368,29.64,28.82,Door to Door,"51.9244201,4.4777326","41.0082376,28.9783589",TRIST - NLRTM,48.0
908,coloaded_lcl,3044505,TAWB,"1,712",7.104,30.83,483.20,Door to Door,"45.5016889,-73.567256","53.5510846,9.9936819",DEHAM - USCHI,58.0
909,coloaded_lcl,2992001,TPEB,308.46,1.27,181.64,7.14,Port to Door,"34.0522342,-118.2436849","22.356851,91.7831819",BDCGP - USLAX,73.0
910,coloaded_lcl,2992490,FEWB,94,0.968,61.12,0.72,Port to Door,"51.9244201,4.4777326","22.3193039,114.1693611",HKHKG - NLRTM,68.0
911,coloaded_lcl,3032179,TAWB,190.8,1.0,539.50,21.79,Door to Door,"40.735657,-74.1723667","44.4056499,8.946256",ITGOA - USNYC,60.0
912,coloaded_lcl,2980340,TPWB,"1,444.71",3.654,14.44,35.92,Port to Port,"-32.0518191,115.7551085","34.0522342,-118.2436849",USLAX - AUFRE,
913,coloaded_lcl,3003869,FEWB,"1,730.25",12.075,116.24,162.55,Port to Door,"51.961726,1.351255","10.6267867,103.5115545",KHKOS - GBFXT,58.0
914,coloaded_lcl,3004095,TPEB,364.18,2.03,855.34,181.50,Port to Door,"34.0522342,-118.2436849","20.8449115,106.6880841",VNHPH - USLAX,47.0
915,coloaded_lcl,2950876,TPEB,499,4.462,111.62,"1,154.34",Port to Door,"34.0522342,-118.2436849","18.9499361,72.9511875",INNSA - USLAX,80.0
916,coloaded_lcl,2967018,TPEB,223,2.8,24.54,234.18,Port to Door,"49.2827291,-123.1207375","22.356851,91.7831819",BDCGP - CAVAN,83.0
917,coloaded_lcl,3004977,TPEB,89,0.6,418.20,41.19,Port to Door,"34.0522342,-118.2436849","20.8449115,106.6880841",VNHPH - USLAX,60.0
918,coloaded_lcl,3035115,TAWB,537,3.101,471.35,495.01,Door to Door,"40.66,-74.047","53.5510846,9.9936819",DEHAM - USEWR,50.0
